date,receipt_id,sku_id,quantity,unit_price,total_value
2024-01-01,R000033,SKU016,1,4.91,4.91
2024-01-01,R000033,SKU015,2,5.89,11.78
2024-01-01,R000034,SKU005,1,3.94,3.94
2024-01-01,R000035,SKU006,1,4.26,4.26
2024-01-01,R000035,SKU019,2,5.93,11.86
2024-01-01,R000036,SKU006,1,4.26,4.26
2024-01-01,R000036,SKU019,1,5.93,5.93
2024-01-01,R000036,SKU001,1,3.59,3.59
2024-01-01,R000037,SKU026,1,5.45,5.45
2024-01-01,R000038,SKU023,1,5.09,5.09
2024-01-01,R000039,SKU012,1,3.19,3.19
2024-01-01,R000040,SKU021,1,4.55,4.55
2024-01-01,R000041,SKU011,1,3.94,3.94
2024-01-01,R000041,SKU001,1,3.59,3.59
2024-01-01,R000042,SKU019,3,5.93,17.79
2024-01-01,R000043,SKU023,1,5.09,5.09
2024-01-01,R000043,SKU022,1,4.13,4.13
2024-01-01,R000044,SKU004,1,3.03,3.03
2024-01-01,R000045,SKU003,2,4.81,9.62
2024-01-01,R000046,SKU017,1,5.73,5.73
2024-01-01,R000047,SKU025,2,4.92,9.84
2024-01-01,R000047,SKU007,1,3.79,3.79
2024-01-01,R000047,SKU026,1,5.45,5.45
2024-01-01,R000048,SKU011,1,3.94,3.94
2024-01-01,R000049,SKU013,1,4.79,4.79
2024-01-01,R000050,SKU013,3,4.79,14.370000000000001
2024-01-01,R000050,SKU011,3,3.94,11.82
2024-01-01,R000050,SKU027,1,4.4,4.4
2024-01-01,R000051,SKU010,1,3.5,3.5
2024-01-01,R000052,SKU008,1,4.74,4.74
2024-01-01,R000052,SKU026,1,5.45,5.45
2024-01-01,R000053,SKU010,1,3.5,3.5
2024-01-01,R000054,SKU009,1,6.21,6.21
2024-01-01,R000054,SKU014,1,4.9,4.9
2024-01-01,R000055,SKU033,1,20.67,20.67
2024-01-01,R000055,SKU024,1,4.08,4.08
2024-01-01,R000056,SKU033,1,20.67,20.67
2024-01-02,R000057,SKU003,1,4.81,4.81
2024-01-02,R000057,SKU009,1,6.21,6.21
2024-01-02,R000058,SKU006,1,4.26,4.26
2024-01-02,R000059,SKU017,3,5.73,17.19
2024-01-02,R000060,SKU015,1,5.89,5.89
2024-01-02,R000060,SKU014,1,4.9,4.9
2024-01-02,R000061,SKU012,1,3.19,3.19
2024-01-02,R000061,SKU020,1,5.09,5.09
2024-01-02,R000061,SKU008,1,4.74,4.74
2024-01-02,R000061,SKU011,1,3.94,3.94
2024-01-02,R000062,SKU025,3,4.92,14.76
2024-01-02,R000062,SKU010,2,3.5,7.0
2024-01-02,R000063,SKU007,1,3.79,3.79
2024-01-02,R000064,SKU005,1,3.94,3.94
2024-01-02,R000065,SKU002,1,4.7,4.7
2024-01-02,R000066,SKU004,1,3.03,3.03
2024-01-02,R000066,SKU013,3,4.79,14.370000000000001
2024-01-02,R000067,SKU008,1,4.74,4.74
2024-01-02,R000067,SKU026,1,5.45,5.45
2024-01-02,R000067,SKU018,2,4.1,8.2
2024-01-02,R000068,SKU012,1,3.19,3.19
2024-01-02,R000068,SKU004,1,3.03,3.03
2024-01-02,R000069,SKU028,1,7.77,7.77
2024-01-02,R000069,SKU012,1,3.19,3.19
2024-01-02,R000070,SKU012,1,3.19,3.19
2024-01-02,R000071,SKU001,1,3.59,3.59
2024-01-02,R000071,SKU003,1,4.81,4.81
2024-01-02,R000071,SKU026,1,5.45,5.45
2024-01-02,R000072,SKU024,1,4.08,4.08
2024-01-02,R000072,SKU023,1,5.09,5.09
2024-01-02,R000073,SKU018,1,4.1,4.1
2024-01-02,R000073,SKU018,1,4.1,4.1
2024-01-02,R000074,SKU011,2,3.94,7.88
2024-01-02,R000074,SKU003,1,4.81,4.81
2024-01-02,R000074,SKU011,1,3.94,3.94
2024-01-02,R000074,SKU020,1,5.09,5.09
2024-01-02,R000075,SKU020,1,5.09,5.09
2024-01-02,R000076,SKU014,1,4.9,4.9
2024-01-02,R000076,SKU030,1,7.26,7.26
2024-01-02,R000077,SKU019,1,5.93,5.93
2024-01-02,R000078,SKU017,1,5.73,5.73
2024-01-02,R000079,SKU001,2,3.59,7.18
2024-01-02,R000080,SKU020,1,5.09,5.09
2024-01-02,R000081,SKU011,2,3.94,7.88
2024-01-02,R000081,SKU007,1,3.79,3.79
2024-01-02,R000082,SKU029,2,7.18,14.36
2024-01-02,R000083,SKU014,1,4.9,4.9
2024-01-02,R000083,SKU007,1,3.79,3.79
2024-01-02,R000084,SKU010,1,3.5,3.5
2024-01-02,R000085,SKU023,1,5.09,5.09
2024-01-02,R000085,SKU008,2,4.74,9.48
2024-01-02,R000085,SKU007,2,3.79,7.58
2024-01-02,R000085,SKU015,1,5.89,5.89
2024-01-02,R000086,SKU026,1,5.45,5.45
2024-01-02,R000086,SKU009,2,6.21,12.42
2024-01-02,R000087,SKU010,1,3.5,3.5
2024-01-02,R000087,SKU026,1,5.45,5.45
2024-01-02,R000088,SKU018,1,4.1,4.1
2024-01-02,R000089,SKU001,1,3.59,3.59
2024-01-02,R000089,SKU005,1,3.94,3.94
2024-01-02,R000089,SKU012,1,3.19,3.19
2024-01-02,R000090,SKU006,1,4.26,4.26
2024-01-02,R000091,SKU012,1,3.19,3.19
2024-01-02,R000092,SKU015,1,5.89,5.89
2024-01-02,R000092,SKU012,1,3.19,3.19
2024-01-02,R000092,SKU008,3,4.74,14.22
2024-01-02,R000093,SKU004,1,3.03,3.03
2024-01-02,R000094,SKU006,1,4.26,4.26
2024-01-02,R000095,SKU009,2,6.21,12.42
2024-01-02,R000096,SKU002,1,4.7,4.7
2024-01-02,R000096,SKU026,1,5.45,5.45
2024-01-02,R000097,SKU011,1,3.94,3.94
2024-01-02,R000098,SKU009,1,6.21,6.21
2024-01-02,R000099,SKU007,2,3.79,7.58
2024-01-02,R000100,SKU011,1,3.94,3.94
2024-01-02,R000100,SKU006,1,4.26,4.26
2024-01-02,R000101,SKU012,1,3.19,3.19
2024-01-02,R000101,SKU018,1,4.1,4.1
2024-01-02,R000102,SKU008,1,4.74,4.74
2024-01-02,R000102,SKU020,1,5.09,5.09
2024-01-02,R000102,SKU005,1,3.94,3.94
2024-01-02,R000103,SKU009,1,6.21,6.21
2024-01-02,R000104,SKU011,2,3.94,7.88
2024-01-02,R000105,SKU010,1,3.5,3.5
2024-01-02,R000105,SKU019,2,5.93,11.86
2024-01-02,R000106,SKU026,1,5.45,5.45
2024-01-02,R000106,SKU018,1,4.1,4.1
2024-01-02,R000106,SKU032,3,17.88,53.64
2024-01-02,R000107,SKU013,1,4.79,4.79
2024-01-02,R000108,SKU014,2,4.9,9.8
2024-01-02,R000109,SKU002,1,4.7,4.7
2024-01-02,R000110,SKU010,1,3.5,3.5
2024-01-02,R000110,SKU004,1,3.03,3.03
2024-01-02,R000111,SKU001,1,3.59,3.59
2024-01-02,R000112,SKU025,1,4.92,4.92
2024-01-02,R000113,SKU020,1,5.09,5.09
2024-01-02,R000114,SKU009,1,6.21,6.21
2024-01-02,R000114,SKU025,1,4.92,4.92
2024-01-02,R000115,SKU001,1,3.59,3.59
2024-01-02,R000116,SKU022,1,4.13,4.13
2024-01-02,R000116,SKU010,1,3.5,3.5
2024-01-02,R000117,SKU002,1,4.7,4.7
2024-01-02,R000118,SKU006,1,4.26,4.26
2024-01-02,R000118,SKU012,1,3.19,3.19
2024-01-02,R000118,SKU012,1,3.19,3.19
2024-01-02,R000119,SKU019,1,5.93,5.93
2024-01-02,R000119,SKU005,1,3.94,3.94
2024-01-02,R000119,SKU018,2,4.1,8.2
2024-01-02,R000120,SKU014,1,4.9,4.9
2024-01-02,R000120,SKU008,1,4.74,4.74
2024-01-02,R000120,SKU012,1,3.19,3.19
2024-01-02,R000121,SKU007,1,3.79,3.79
2024-01-02,R000122,SKU014,1,4.9,4.9
2024-01-02,R000122,SKU001,1,3.59,3.59
2024-01-02,R000123,SKU013,1,4.79,4.79
2024-01-02,R000124,SKU015,1,5.89,5.89
2024-01-02,R000125,SKU009,1,6.21,6.21
2024-01-02,R000125,SKU025,1,4.92,4.92
2024-01-02,R000126,SKU012,1,3.19,3.19
2024-01-02,R000127,SKU013,2,4.79,9.58
2024-01-02,R000128,SKU015,1,5.89,5.89
2024-01-02,R000128,SKU019,1,5.93,5.93
2024-01-02,R000128,SKU015,1,5.89,5.89
2024-01-03,R000129,SKU011,1,3.94,3.94
2024-01-03,R000129,SKU015,2,5.89,11.78
2024-01-03,R000130,SKU025,1,4.92,4.92
2024-01-03,R000130,SKU013,1,4.79,4.79
2024-01-03,R000131,SKU008,1,4.74,4.74
2024-01-03,R000131,SKU028,1,7.77,7.77
2024-01-03,R000132,SKU028,1,7.77,7.77
2024-01-03,R000133,SKU004,1,3.03,3.03
2024-01-03,R000133,SKU026,1,5.45,5.45
2024-01-03,R000134,SKU002,1,4.7,4.7
2024-01-03,R000135,SKU014,1,4.9,4.9
2024-01-03,R000136,SKU024,3,4.08,12.24
2024-01-03,R000137,SKU024,1,4.08,4.08
2024-01-03,R000137,SKU019,1,5.93,5.93
2024-01-03,R000137,SKU005,1,3.94,3.94
2024-01-03,R000138,SKU027,3,4.4,13.200000000000001
2024-01-03,R000138,SKU002,1,4.7,4.7
2024-01-03,R000139,SKU024,1,4.08,4.08
2024-01-03,R000140,SKU007,1,3.79,3.79
2024-01-03,R000140,SKU030,1,7.26,7.26
2024-01-03,R000141,SKU009,1,6.21,6.21
2024-01-03,R000141,SKU015,1,5.89,5.89
2024-01-03,R000142,SKU002,1,4.7,4.7
2024-01-03,R000142,SKU004,1,3.03,3.03
2024-01-03,R000143,SKU030,1,7.26,7.26
2024-01-03,R000144,SKU023,1,5.09,5.09
2024-01-03,R000144,SKU008,1,4.74,4.74
2024-01-03,R000145,SKU007,1,3.79,3.79
2024-01-03,R000146,SKU010,1,3.5,3.5
2024-01-03,R000146,SKU010,1,3.5,3.5
2024-01-03,R000146,SKU021,1,4.55,4.55
2024-01-03,R000147,SKU028,1,7.77,7.77
2024-01-03,R000148,SKU016,1,4.91,4.91
2024-01-03,R000148,SKU011,3,3.94,11.82
2024-01-03,R000149,SKU009,1,6.21,6.21
2024-01-03,R000150,SKU002,1,4.7,4.7
2024-01-03,R000151,SKU007,3,3.79,11.370000000000001
2024-01-03,R000152,SKU002,2,4.7,9.4
2024-01-03,R000152,SKU010,2,3.5,7.0
2024-01-03,R000152,SKU009,1,6.21,6.21
2024-01-03,R000153,SKU027,1,4.4,4.4
2024-01-03,R000153,SKU028,1,7.77,7.77
2024-01-03,R000153,SKU004,1,3.03,3.03
2024-01-03,R000154,SKU001,1,3.59,3.59
2024-01-03,R000155,SKU008,1,4.74,4.74
2024-01-03,R000156,SKU012,1,3.19,3.19
2024-01-03,R000156,SKU018,1,4.1,4.1
2024-01-03,R000157,SKU013,1,4.79,4.79
2024-01-03,R000157,SKU009,1,6.21,6.21
2024-01-03,R000158,SKU008,1,4.74,4.74
2024-01-03,R000159,SKU006,1,4.26,4.26
2024-01-03,R000160,SKU011,1,3.94,3.94
2024-01-03,R000161,SKU020,1,5.09,5.09
2024-01-03,R000161,SKU006,1,4.26,4.26
2024-01-03,R000161,SKU021,1,4.55,4.55
2024-01-03,R000162,SKU025,1,4.92,4.92
2024-01-03,R000162,SKU016,1,4.91,4.91
2024-01-03,R000163,SKU018,3,4.1,12.299999999999999
2024-01-03,R000164,SKU003,1,4.81,4.81
2024-01-03,R000164,SKU006,1,4.26,4.26
2024-01-03,R000165,SKU018,1,4.1,4.1
2024-01-03,R000165,SKU006,1,4.26,4.26
2024-01-03,R000165,SKU001,1,3.59,3.59
2024-01-03,R000165,SKU011,1,3.94,3.94
2024-01-03,R000166,SKU023,2,5.09,10.18
2024-01-03,R000167,SKU028,1,7.77,7.77
2024-01-03,R000168,SKU026,1,5.45,5.45
2024-01-03,R000168,SKU030,2,7.26,14.52
2024-01-03,R000169,SKU007,1,3.79,3.79
2024-01-03,R000170,SKU010,1,3.5,3.5
2024-01-03,R000170,SKU003,1,4.81,4.81
2024-01-03,R000170,SKU022,3,4.13,12.39
2024-01-03,R000170,SKU013,1,4.79,4.79
2024-01-03,R000171,SKU001,1,3.59,3.59
2024-01-03,R000171,SKU010,2,3.5,7.0
2024-01-03,R000172,SKU021,1,4.55,4.55
2024-01-03,R000172,SKU017,3,5.73,17.19
2024-01-03,R000172,SKU002,1,4.7,4.7
2024-01-03,R000173,SKU030,1,7.26,7.26
2024-01-03,R000173,SKU005,1,3.94,3.94
2024-01-03,R000174,SKU016,1,4.91,4.91
2024-01-03,R000175,SKU010,1,3.5,3.5
2024-01-03,R000175,SKU014,1,4.9,4.9
2024-01-03,R000175,SKU004,1,3.03,3.03
2024-01-03,R000176,SKU016,1,4.91,4.91
2024-01-03,R000176,SKU024,1,4.08,4.08
2024-01-03,R000177,SKU021,2,4.55,9.1
2024-01-03,R000178,SKU005,1,3.94,3.94
2024-01-03,R000179,SKU015,1,5.89,5.89
2024-01-03,R000179,SKU010,1,3.5,3.5
2024-01-03,R000179,SKU006,1,4.26,4.26
2024-01-03,R000179,SKU008,1,4.74,4.74
2024-01-03,R000180,SKU008,1,4.74,4.74
2024-01-03,R000180,SKU022,1,4.13,4.13
2024-01-03,R000180,SKU019,1,5.93,5.93
2024-01-03,R000181,SKU020,1,5.09,5.09
2024-01-03,R000182,SKU027,1,4.4,4.4
2024-01-03,R000183,SKU005,1,3.94,3.94
2024-01-03,R000183,SKU006,2,4.26,8.52
2024-01-03,R000184,SKU025,1,4.92,4.92
2024-01-03,R000185,SKU009,1,6.21,6.21
2024-01-03,R000186,SKU019,1,5.93,5.93
2024-01-03,R000187,SKU004,1,3.03,3.03
2024-01-03,R000188,SKU011,1,3.94,3.94
2024-01-03,R000189,SKU025,2,4.92,9.84
2024-01-03,R000190,SKU014,1,4.9,4.9
2024-01-03,R000191,SKU001,1,3.59,3.59
2024-01-03,R000192,SKU022,1,4.13,4.13
2024-01-03,R000193,SKU030,1,7.26,7.26
2024-01-03,R000194,SKU017,1,5.73,5.73
2024-01-03,R000194,SKU025,1,4.92,4.92
2024-01-03,R000195,SKU003,1,4.81,4.81
2024-01-03,R000196,SKU005,1,3.94,3.94
2024-01-03,R000197,SKU023,2,5.09,10.18
2024-01-03,R000197,SKU030,1,7.26,7.26
2024-01-03,R000198,SKU027,1,4.4,4.4
2024-01-03,R000198,SKU031,2,20.63,41.26
2024-01-03,R000199,SKU002,1,4.7,4.7
2024-01-03,R000199,SKU002,1,4.7,4.7
2024-01-03,R000200,SKU017,1,5.73,5.73
2024-01-03,R000201,SKU007,3,3.79,11.370000000000001
2024-01-04,R000202,SKU006,2,4.26,8.52
2024-01-04,R000203,SKU002,1,4.7,4.7
2024-01-04,R000203,SKU003,1,4.81,4.81
2024-01-04,R000204,SKU010,1,3.5,3.5
2024-01-04,R000205,SKU024,1,4.08,4.08
2024-01-04,R000206,SKU030,3,7.26,21.78
2024-01-04,R000206,SKU016,1,4.91,4.91
2024-01-04,R000206,SKU003,1,4.81,4.81
2024-01-04,R000207,SKU026,1,5.45,5.45
2024-01-04,R000207,SKU008,2,4.74,9.48
2024-01-04,R000208,SKU005,1,3.94,3.94
2024-01-04,R000208,SKU013,1,4.79,4.79
2024-01-04,R000208,SKU027,2,4.4,8.8
2024-01-04,R000208,SKU016,1,4.91,4.91
2024-01-04,R000209,SKU013,2,4.79,9.58
2024-01-04,R000210,SKU025,1,4.92,4.92
2024-01-04,R000211,SKU025,1,4.92,4.92
2024-01-04,R000212,SKU014,1,4.9,4.9
2024-01-04,R000212,SKU015,1,5.89,5.89
2024-01-04,R000213,SKU015,1,5.89,5.89
2024-01-04,R000213,SKU016,1,4.91,4.91
2024-01-04,R000214,SKU024,2,4.08,8.16
2024-01-04,R000215,SKU003,2,4.81,9.62
2024-01-04,R000215,SKU018,2,4.1,8.2
2024-01-04,R000216,SKU013,1,4.79,4.79
2024-01-04,R000217,SKU013,2,4.79,9.58
2024-01-04,R000218,SKU010,1,3.5,3.5
2024-01-04,R000218,SKU005,1,3.94,3.94
2024-01-04,R000219,SKU018,1,4.1,4.1
2024-01-04,R000220,SKU024,1,4.08,4.08
2024-01-04,R000221,SKU001,1,3.59,3.59
2024-01-04,R000222,SKU007,1,3.79,3.79
2024-01-04,R000223,SKU015,1,5.89,5.89
2024-01-04,R000223,SKU014,1,4.9,4.9
2024-01-04,R000224,SKU001,1,3.59,3.59
2024-01-04,R000225,SKU005,2,3.94,7.88
2024-01-04,R000226,SKU002,1,4.7,4.7
2024-01-04,R000226,SKU008,3,4.74,14.22
2024-01-04,R000227,SKU007,2,3.79,7.58
2024-01-04,R000228,SKU009,1,6.21,6.21
2024-01-04,R000229,SKU004,1,3.03,3.03
2024-01-04,R000230,SKU025,1,4.92,4.92
2024-01-04,R000231,SKU029,1,7.18,7.18
2024-01-04,R000232,SKU012,1,3.19,3.19
2024-01-04,R000232,SKU003,1,4.81,4.81
2024-01-04,R000233,SKU026,1,5.45,5.45
2024-01-04,R000233,SKU019,1,5.93,5.93
2024-01-04,R000233,SKU031,1,20.63,20.63
2024-01-04,R000234,SKU008,1,4.74,4.74
2024-01-04,R000234,SKU009,1,6.21,6.21
2024-01-04,R000235,SKU023,1,5.09,5.09
2024-01-04,R000236,SKU005,1,3.94,3.94
2024-01-04,R000236,SKU006,1,4.26,4.26
2024-01-04,R000237,SKU015,1,5.89,5.89
2024-01-04,R000238,SKU005,1,3.94,3.94
2024-01-04,R000239,SKU001,1,3.59,3.59
2024-01-04,R000239,SKU004,1,3.03,3.03
2024-01-04,R000239,SKU013,1,4.79,4.79
2024-01-04,R000240,SKU009,1,6.21,6.21
2024-01-04,R000241,SKU016,1,4.91,4.91
2024-01-04,R000242,SKU003,1,4.81,4.81
2024-01-04,R000243,SKU002,1,4.7,4.7
2024-01-04,R000244,SKU005,1,3.94,3.94
2024-01-04,R000245,SKU025,1,4.92,4.92
2024-01-04,R000245,SKU025,1,4.92,4.92
2024-01-04,R000246,SKU009,1,6.21,6.21
2024-01-04,R000246,SKU026,3,5.45,16.35
2024-01-04,R000246,SKU018,2,4.1,8.2
2024-01-04,R000247,SKU006,2,4.26,8.52
2024-01-04,R000247,SKU024,1,4.08,4.08
2024-01-04,R000248,SKU006,1,4.26,4.26
2024-01-04,R000249,SKU010,1,3.5,3.5
2024-01-04,R000249,SKU011,1,3.94,3.94
2024-01-04,R000250,SKU024,1,4.08,4.08
2024-01-04,R000250,SKU009,3,6.21,18.63
2024-01-04,R000251,SKU010,1,3.5,3.5
2024-01-04,R000251,SKU009,2,6.21,12.42
2024-01-04,R000252,SKU005,1,3.94,3.94
2024-01-04,R000253,SKU009,1,6.21,6.21
2024-01-04,R000254,SKU020,1,5.09,5.09
2024-01-04,R000255,SKU010,1,3.5,3.5
2024-01-04,R000255,SKU023,1,5.09,5.09
2024-01-04,R000256,SKU015,1,5.89,5.89
2024-01-04,R000256,SKU004,1,3.03,3.03
2024-01-04,R000256,SKU012,1,3.19,3.19
2024-01-04,R000257,SKU010,1,3.5,3.5
2024-01-04,R000257,SKU001,1,3.59,3.59
2024-01-04,R000258,SKU008,1,4.74,4.74
2024-01-04,R000259,SKU024,1,4.08,4.08
2024-01-04,R000260,SKU024,2,4.08,8.16
2024-01-04,R000260,SKU001,1,3.59,3.59
2024-01-04,R000260,SKU025,1,4.92,4.92
2024-01-04,R000260,SKU003,2,4.81,9.62
2024-01-04,R000261,SKU012,1,3.19,3.19
2024-01-04,R000262,SKU012,1,3.19,3.19
2024-01-04,R000263,SKU013,1,4.79,4.79
2024-01-04,R000264,SKU015,1,5.89,5.89
2024-01-04,R000264,SKU027,1,4.4,4.4
2024-01-04,R000265,SKU009,1,6.21,6.21
2024-01-04,R000266,SKU013,2,4.79,9.58
2024-01-04,R000266,SKU007,1,3.79,3.79
2024-01-04,R000266,SKU026,1,5.45,5.45
2024-01-04,R000266,SKU014,2,4.9,9.8
2024-01-04,R000267,SKU012,1,3.19,3.19
2024-01-04,R000268,SKU015,1,5.89,5.89
2024-01-04,R000269,SKU013,1,4.79,4.79
2024-01-04,R000269,SKU009,2,6.21,12.42
2024-01-04,R000269,SKU017,1,5.73,5.73
2024-01-04,R000270,SKU002,1,4.7,4.7
2024-01-04,R000271,SKU008,1,4.74,4.74
2024-01-04,R000271,SKU015,1,5.89,5.89
2024-01-04,R000271,SKU014,1,4.9,4.9
2024-01-04,R000272,SKU024,2,4.08,8.16
2024-01-04,R000273,SKU026,1,5.45,5.45
2024-01-04,R000274,SKU008,1,4.74,4.74
2024-01-04,R000274,SKU007,1,3.79,3.79
2024-01-04,R000274,SKU004,1,3.03,3.03
2024-01-04,R000274,SKU028,1,7.77,7.77
2024-01-04,R000275,SKU013,1,4.79,4.79
2024-01-04,R000275,SKU008,1,4.74,4.74
2024-01-04,R000275,SKU015,1,5.89,5.89
2024-01-04,R000275,SKU005,1,3.94,3.94
2024-01-04,R000276,SKU008,1,4.74,4.74
2024-01-04,R000277,SKU015,1,5.89,5.89
2024-01-04,R000277,SKU002,2,4.7,9.4
2024-01-04,R000278,SKU001,1,3.59,3.59
2024-01-04,R000279,SKU008,1,4.74,4.74
2024-01-04,R000279,SKU014,1,4.9,4.9
2024-01-05,R000280,SKU025,1,4.92,4.92
2024-01-05,R000280,SKU005,1,3.94,3.94
2024-01-05,R000280,SKU025,1,4.92,4.92
2024-01-05,R000281,SKU024,1,4.08,4.08
2024-01-05,R000281,SKU011,1,3.94,3.94
2024-01-05,R000282,SKU023,1,5.09,5.09
2024-01-05,R000282,SKU008,1,4.74,4.74
2024-01-05,R000283,SKU013,2,4.79,9.58
2024-01-05,R000284,SKU005,1,3.94,3.94
2024-01-05,R000285,SKU013,3,4.79,14.370000000000001
2024-01-05,R000286,SKU010,2,3.5,7.0
2024-01-05,R000286,SKU014,1,4.9,4.9
2024-01-05,R000287,SKU029,2,7.18,14.36
2024-01-05,R000287,SKU011,1,3.94,3.94
2024-01-05,R000287,SKU015,2,5.89,11.78
2024-01-05,R000288,SKU024,2,4.08,8.16
2024-01-05,R000288,SKU001,2,3.59,7.18
2024-01-05,R000289,SKU003,1,4.81,4.81
2024-01-05,R000289,SKU005,1,3.94,3.94
2024-01-05,R000289,SKU002,1,4.7,4.7
2024-01-05,R000290,SKU010,1,3.5,3.5
2024-01-05,R000290,SKU013,1,4.79,4.79
2024-01-05,R000290,SKU023,1,5.09,5.09
2024-01-05,R000291,SKU001,1,3.59,3.59
2024-01-05,R000292,SKU005,3,3.94,11.82
2024-01-05,R000292,SKU009,1,6.21,6.21
2024-01-05,R000293,SKU009,1,6.21,6.21
2024-01-05,R000294,SKU025,2,4.92,9.84
2024-01-05,R000294,SKU010,3,3.5,10.5
2024-01-05,R000295,SKU020,1,5.09,5.09
2024-01-05,R000296,SKU002,1,4.7,4.7
2024-01-05,R000296,SKU017,1,5.73,5.73
2024-01-05,R000297,SKU015,1,5.89,5.89
2024-01-05,R000298,SKU024,3,4.08,12.24
2024-01-05,R000299,SKU009,2,6.21,12.42
2024-01-05,R000300,SKU003,1,4.81,4.81
2024-01-05,R000300,SKU001,1,3.59,3.59
2024-01-05,R000301,SKU019,1,5.93,5.93
2024-01-05,R000302,SKU001,1,3.59,3.59
2024-01-05,R000302,SKU024,1,4.08,4.08
2024-01-05,R000302,SKU009,1,6.21,6.21
2024-01-05,R000302,SKU008,1,4.74,4.74
2024-01-05,R000303,SKU003,3,4.81,14.43
2024-01-05,R000303,SKU006,1,4.26,4.26
2024-01-05,R000303,SKU017,1,5.73,5.73
2024-01-05,R000303,SKU023,2,5.09,10.18
2024-01-05,R000304,SKU016,1,4.91,4.91
2024-01-05,R000304,SKU005,1,3.94,3.94
2024-01-05,R000304,SKU007,2,3.79,7.58
2024-01-05,R000305,SKU010,1,3.5,3.5
2024-01-05,R000306,SKU019,1,5.93,5.93
2024-01-05,R000306,SKU013,1,4.79,4.79
2024-01-05,R000306,SKU003,1,4.81,4.81
2024-01-05,R000307,SKU002,1,4.7,4.7
2024-01-05,R000308,SKU015,1,5.89,5.89
2024-01-05,R000309,SKU029,1,7.18,7.18
2024-01-05,R000309,SKU005,1,3.94,3.94
2024-01-05,R000310,SKU005,2,3.94,7.88
2024-01-05,R000311,SKU018,1,4.1,4.1
2024-01-05,R000312,SKU013,1,4.79,4.79
2024-01-05,R000313,SKU004,1,3.03,3.03
2024-01-05,R000314,SKU007,1,3.79,3.79
2024-01-05,R000315,SKU012,1,3.19,3.19
2024-01-05,R000315,SKU015,1,5.89,5.89
2024-01-05,R000316,SKU017,3,5.73,17.19
2024-01-05,R000317,SKU026,2,5.45,10.9
2024-01-05,R000318,SKU006,1,4.26,4.26
2024-01-05,R000319,SKU009,2,6.21,12.42
2024-01-05,R000320,SKU015,1,5.89,5.89
2024-01-05,R000320,SKU010,1,3.5,3.5
2024-01-05,R000321,SKU012,1,3.19,3.19
